paper,q,marks,primary_type,cross_types,qp_main_start,ms_page,equivalent_ms,mastery
9702_m24_42,1(a),2,G03,,373,6,,未学
9702_m24_42,1(b)(i),2,G03,,373,6,,未学
9702_m24_42,1(b)(ii),3,G05,,373,6,,未学
9702_m24_42,1(b)(iii),3,G04,,373,6,,未学
9702_m24_42,2(a),2,H01,,375,7,,未学
9702_m24_42,2(b)(i),2,H02,,375,7,,未学
9702_m24_42,2(b)(ii),2,K01,,375,7,,未学
9702_m24_42,2(b)(iii),2,T03,,375,7,,未学
9702_m24_42,2(c),3,H02,T03,375,7,,未学
9702_m24_42,3(a),3,S03,,377,7,,未学
9702_m24_42,3(b)(i),2,S01,C08,377,8,,未学
9702_m24_42,3(b)(ii),2,C08,S01,377,8,,未学
9702_m24_42,4(a),2,D02,,379,8,,未学
9702_m24_42,4(b),2,D03,,379,8,,未学
9702_m24_42,4(c)(i),1,A04,,379,8,,未学
9702_m24_42,4(c)(ii),3,D06,A04,379,8,,未学
9702_m24_42,4(d)(i),1,A02,,379,9,,未学
9702_m24_42,4(d)(ii),1,A02,,379,9,,未学
9702_m24_42,5(a),2,C05,,381,9,,未学
9702_m24_42,5(b)(i),3,B04,,381,9,,未学
9702_m24_42,5(b)(ii),2,B04,,381,9,,未学
9702_m24_42,5(b)(iii),1,B04,,381,9,,未学
9702_m24_42,5(b)(iv),2,B05,,381,9,,未学
9702_m24_42,6(a)(i),1,B01,,383,10,,未学
9702_m24_42,6(a)(ii),2,I01,,383,10,,未学
9702_m24_42,6(a)(iii),2,I01,,383,10,,未学
9702_m24_42,6(a)(iv),3,I04,,383,10,,未学
9702_m24_42,6(b),3,B02,,383,10,,未学
9702_m24_42,7(a),2,Q01,,386,11,,未学
9702_m24_42,7(b)(i),2,Q01,,386,11,,未学
9702_m24_42,7(b)(ii),2,Q07,,386,11,,未学
9702_m24_42,7(c)(i),1,Q02,,386,11,,未学
9702_m24_42,7(c)(ii),2,Q02,,386,11,,未学
9702_m24_42,8(a),2,N01,,388,11,,未学
9702_m24_42,8(b)(i),1,N05,,388,11,,未学
9702_m24_42,8(b)(ii),2,N02,,388,12,,未学
9702_m24_42,8(b)(iii),1,N05,,388,12,,未学
9702_m24_42,8(b)(iv),3,N04,,388,12,,未学
9702_m24_42,9(a)(i),2,M01,,390,12,,未学
9702_m24_42,9(a)(ii),2,M01,,390,12,,未学
9702_m24_42,9(b),3,M02,,390,13,,未学
9702_m24_42,9(c)(i),2,M05,,390,13,,未学
9702_m24_42,9(c)(ii),2,M05,,390,13,,未学
9702_m24_42,9(c)(iii),2,M05,,390,13,,未学
9702_m24_42,10(a)(i),2,Z02,,393,13,,未学
9702_m24_42,10(a)(ii),2,Z01,,393,14,,未学
9702_m24_42,10(a)(iii),2,Z03,,393,14,,未学
9702_m24_42,10(b)(i),1,Z04,,393,14,,未学
9702_m24_42,10(b)(ii),2,Z04,,393,14,,未学
9702_m24_42,10(b)(iii),1,Z03,,393,14,,未学
9702_s22_41,1(a)(i),2,G01,,4,30,,未学
9702_s22_41,1(a)(ii),2,G01,,4,30,,未学
9702_s22_41,1(b)(i),1,G01,,4,30,,未学
9702_s22_41,1(b)(ii),2,G02,,4,30,,未学
9702_s22_41,1(b)(iii),3,G02,,4,30,,未学
9702_s22_41,2(a)(i),1,B03,,6,31,,未学
9702_s22_41,2(a)(ii),2,C05,B04,6,31,,未学
9702_s22_41,2(b),2,E06,,6,31,,未学
9702_s22_41,2(c),3,B04,C04,6,31,,未学
9702_s22_41,3(a)(i),2,K01,,8,32,,未学
9702_s22_41,3(a)(ii),2,K01,,8,32,,未学
9702_s22_41,3(b)(i),2,H02,,8,32,,未学
9702_s22_41,3(b)(ii),5,H03,,8,32,,未学
9702_s22_41,4(a),2,S01,,10,33,,未学
9702_s22_41,4(b)(i),2,S01,,10,33,,未学
9702_s22_41,4(b)(ii),2,S01,,10,33,,未学
9702_s22_41,4(c),2,S03,,10,33,,未学
9702_s22_41,5(a)(i),1,A03,,12,34,,未学
9702_s22_41,5(a)(ii),1,A03,,12,34,,未学
9702_s22_41,5(b)(i),1,A03,,12,34,,未学
9702_s22_41,5(b)(ii),3,A01,,12,34,,未学
9702_s22_41,5(c)(i),1,A04,,12,34,,未学
9702_s22_41,5(c)(ii),2,A04,,12,34,,未学
9702_s22_41,5(c)(iii),3,D05,A04,12,34,,未学
9702_s22_41,6(a),2,I01,,14,35,,未学
9702_s22_41,6(b)(i),3,I01,,14,35,,未学
9702_s22_41,6(b)(ii),1,I04,,14,35,,未学
9702_s22_41,6(b)(iii),2,I02,,14,35,,未学
9702_s22_41,6(c),3,I03,,14,35,,未学
9702_s22_41,7(a),2,Q01,,16,36,,未学
9702_s22_41,7(b)(i),1,Q02,,16,36,,未学
9702_s22_41,7(b)(ii),3,Q02,,16,36,,未学
9702_s22_41,7(c)(i),2,Q02,,16,36,,未学
9702_s22_41,7(c)(ii),2,Q02,,16,36,,未学
9702_s22_41,8(a)(i),2,N01,,18,37,,未学
9702_s22_41,8(a)(ii),2,N02,,18,37,,未学
9702_s22_41,8(b)(i),1,N02,,18,37,,未学
9702_s22_41,8(b)(ii),2,N02,,18,37,,未学
9702_s22_41,8(c),5,N06,,18,37,,未学
9702_s22_41,9(a)(i),3,M01,,20,38,,未学
9702_s22_41,9(a)(ii),1,M03,,20,38,,未学
9702_s22_41,9(b)(i),2,M02,,20,38,,未学
9702_s22_41,9(b)(ii),2,M02,,20,38,,未学
9702_s22_41,9(c),1,M02,,20,38,,未学
9702_s22_41,10(a),1,Z03,,22,39,,未学
9702_s22_41,10(b)(i),2,Z03,,22,39,,未学
9702_s22_41,10(b)(ii),2,Z03,,22,39,,未学
9702_s22_41,10(c)(i),2,Z04,,22,39,,未学
9702_s22_41,10(c)(ii),2,Z04,,22,39,,未学
9702_s22_42,1(a)(i),2,G03,,28,46,,未学
9702_s22_42,1(a)(ii),1,G04,,28,46,,未学
9702_s22_42,1(b)(i),2,G04,,28,46,,未学
9702_s22_42,1(b)(ii),1,G04,,28,46,,未学
9702_s22_42,1(b)(iii),3,G04,,28,46,,未学
9702_s22_42,1(c),1,G04,,28,46,,未学
9702_s22_42,2(a),2,E02,,30,47,,未学
9702_s22_42,2(b)(i),2,C05,C11,30,47,,未学
9702_s22_42,2(b)(ii),2,C11,,30,47,,未学
9702_s22_42,2(b)(iii),3,C11,,30,47,,未学
9702_s22_42,2(c)(i),3,Q06,,30,47,,未学
9702_s22_42,2(c)(ii),1,M06,,30,47,,未学
9702_s22_42,3(a),2,T04,,32,48,,未学
9702_s22_42,3(b)(i),1,T04,,32,48,,未学
9702_s22_42,3(b)(ii),3,K01,,32,48,,未学
9702_s22_42,3(b)(iii),2,H02,,32,48,,未学
9702_s22_42,3(b)(iv),2,H02,,32,48,,未学
9702_s22_42,3(c),2,T04,H02,32,48,,未学
9702_s22_42,4(a),2,S05,,34,49,,未学
9702_s22_42,4(b)(i),2,S02,,34,49,,未学
9702_s22_42,4(b)(ii),2,S02,,34,49,,未学
9702_s22_42,4(b)(iii),2,S02,,34,49,,未学
9702_s22_42,5(a),2,D01,,36,50,,未学
9702_s22_42,5(b),3,D02,,36,50,,未学
9702_s22_42,5(c)(i),1,D02,,36,50,,未学
9702_s22_42,5(c)(ii),2,D03,,36,50,,未学
9702_s22_42,5(c)(iii),3,D05,D02,36,50,,未学
9702_s22_42,6(a),2,B02,,38,51,,未学
9702_s22_42,6(b)(i),3,B01,,38,51,,未学
9702_s22_42,6(b)(ii),2,B01,,38,51,,未学
9702_s22_42,6(c),3,B02,,38,51,,未学
9702_s22_42,7(a),2,I02,,40,52,,未学
9702_s22_42,7(b),4,I04,,40,52,,未学
9702_s22_42,7(c)(i),3,I03,,40,52,,未学
9702_s22_42,7(c)(ii),1,I03,,40,52,,未学
9702_s22_42,8(a)(i),1,Q03,,42,53,,未学
9702_s22_42,8(a)(ii),1,Q03,,42,53,,未学
9702_s22_42,8(b)(i),3,Q04,,42,53,,未学
9702_s22_42,8(b)(ii),2,Q04,,42,53,,未学
9702_s22_42,8(c),1,Q04,,42,53,,未学
9702_s22_42,9(a)(i),2,Z05,,43,54,,未学
9702_s22_42,9(a)(ii),2,Z04,,43,54,,未学
9702_s22_42,9(b),3,Z05,,43,54,,未学
9702_s22_42,10(a),2,N03,,44,55,,未学
9702_s22_42,10(b)(i),3,N04,,44,55,,未学
9702_s22_42,10(b)(ii),2,N04,,44,55,,未学
9702_s22_42,10(c)(i),1,N04,,44,55,,未学
9702_s22_42,10(c)(ii),1,N04,,44,55,,未学
9702_s22_42,10(d),2,N04,,44,55,,未学
9702_s22_43,1(a)(i),2,G01,,50,62,9702_s22_41:1(a)(i),未学
9702_s22_43,1(a)(ii),2,G01,,50,62,9702_s22_41:1(a)(ii),未学
9702_s22_43,1(b)(i),1,G01,,50,62,9702_s22_41:1(b)(i),未学
9702_s22_43,1(b)(ii),2,G02,,50,62,9702_s22_41:1(b)(ii),未学
9702_s22_43,1(b)(iii),3,G02,,50,62,9702_s22_41:1(b)(iii),未学
9702_s22_43,2(a)(i),1,B03,,52,63,9702_s22_41:2(a)(i),未学
9702_s22_43,2(a)(ii),2,C05,B04,52,63,9702_s22_41:2(a)(ii),未学
9702_s22_43,2(b),2,E06,,52,63,9702_s22_41:2(b),未学
9702_s22_43,2(c),3,B04,C04,52,63,9702_s22_41:2(c),未学
9702_s22_43,3(a)(i),2,K01,,54,64,9702_s22_41:3(a)(i),未学
9702_s22_43,3(a)(ii),2,K01,,54,64,9702_s22_41:3(a)(ii),未学
9702_s22_43,3(b)(i),2,H02,,54,64,9702_s22_41:3(b)(i),未学
9702_s22_43,3(b)(ii),5,H03,,54,64,9702_s22_41:3(b)(ii),未学
9702_s22_43,4(a),2,S01,,56,65,9702_s22_41:4(a),未学
9702_s22_43,4(b)(i),2,S01,,56,65,9702_s22_41:4(b)(i),未学
9702_s22_43,4(b)(ii),2,S01,,56,65,9702_s22_41:4(b)(ii),未学
9702_s22_43,4(c),2,S03,,56,65,9702_s22_41:4(c),未学
9702_s22_43,5(a)(i),1,A03,,58,66,9702_s22_41:5(a)(i),未学
9702_s22_43,5(a)(ii),1,A03,,58,66,9702_s22_41:5(a)(ii),未学
9702_s22_43,5(b)(i),1,A03,,58,66,9702_s22_41:5(b)(i),未学
9702_s22_43,5(b)(ii),3,A01,,58,66,9702_s22_41:5(b)(ii),未学
9702_s22_43,5(c)(i),1,A04,,58,66,9702_s22_41:5(c)(i),未学
9702_s22_43,5(c)(ii),2,A04,,58,66,9702_s22_41:5(c)(ii),未学
9702_s22_43,5(c)(iii),3,D05,A04,58,66,9702_s22_41:5(c)(iii),未学
9702_s22_43,6(a),2,I01,,60,67,9702_s22_41:6(a),未学
9702_s22_43,6(b)(i),3,I01,,60,67,9702_s22_41:6(b)(i),未学
9702_s22_43,6(b)(ii),1,I04,,60,67,9702_s22_41:6(b)(ii),未学
9702_s22_43,6(b)(iii),2,I02,,60,67,9702_s22_41:6(b)(iii),未学
9702_s22_43,6(c),3,I03,,60,67,9702_s22_41:6(c),未学
9702_s22_43,7(a),2,Q01,,62,68,9702_s22_41:7(a),未学
9702_s22_43,7(b)(i),1,Q02,,62,68,9702_s22_41:7(b)(i),未学
9702_s22_43,7(b)(ii),3,Q02,,62,68,9702_s22_41:7(b)(ii),未学
9702_s22_43,7(c)(i),2,Q02,,62,68,9702_s22_41:7(c)(i),未学
9702_s22_43,7(c)(ii),2,Q02,,62,68,9702_s22_41:7(c)(ii),未学
9702_s22_43,8(a)(i),2,N01,,64,69,9702_s22_41:8(a)(i),未学
9702_s22_43,8(a)(ii),2,N02,,64,69,9702_s22_41:8(a)(ii),未学
9702_s22_43,8(b)(i),1,N02,,64,69,9702_s22_41:8(b)(i),未学
9702_s22_43,8(b)(ii),2,N02,,64,69,9702_s22_41:8(b)(ii),未学
9702_s22_43,8(c),5,N06,,64,69,9702_s22_41:8(c),未学
9702_s22_43,9(a)(i),3,M01,,66,70,9702_s22_41:9(a)(i),未学
9702_s22_43,9(a)(ii),1,M03,,66,70,9702_s22_41:9(a)(ii),未学
9702_s22_43,9(b)(i),2,M02,,66,70,9702_s22_41:9(b)(i),未学
9702_s22_43,9(b)(ii),2,M02,,66,70,9702_s22_41:9(b)(ii),未学
9702_s22_43,9(c),1,M02,,66,70,9702_s22_41:9(c),未学
9702_s22_43,10(a),1,Z03,,68,71,9702_s22_41:10(a),未学
9702_s22_43,10(b)(i),2,Z03,,68,71,9702_s22_41:10(b)(i),未学
9702_s22_43,10(b)(ii),2,Z03,,68,71,9702_s22_41:10(b)(ii),未学
9702_s22_43,10(c)(i),2,Z04,,68,71,9702_s22_41:10(c)(i),未学
9702_s22_43,10(c)(ii),2,Z04,,68,71,9702_s22_41:10(c)(ii),未学
9702_s23_41,1(a)(i),1,G01,,190,108,,未学
9702_s23_41,1(a)(ii),1,E01,,190,108,,未学
9702_s23_41,1(a)(iii),2,G03,E04,190,108,,未学
9702_s23_41,1(b)(i),3,E03,G01,190,108,,未学
9702_s23_41,1(b)(ii),1,E03,,190,108,,未学
9702_s23_41,1(c)(i),2,E03,,190,108,,未学
9702_s23_41,1(c)(ii),1,E03,,190,108,,未学
9702_s23_41,2(a),3,C08,,192,109,,未学
9702_s23_41,2(b)(i),1,C03,,192,109,,未学
9702_s23_41,2(b)(ii),2,C08,,192,109,,未学
9702_s23_41,2(b)(iii),2,C08,X01,192,109,,未学
9702_s23_41,2(c)(i),2,C08,,192,109,,未学
9702_s23_41,2(c)(ii),2,C02,,192,110,,未学
9702_s23_41,3(a),1,T01,,194,111,,未学
9702_s23_41,3(b)(i),1,T02,,194,111,,未学
9702_s23_41,3(b)(ii),2,T02,,194,111,,未学
9702_s23_41,3(c)(i),1,T02,,194,111,,未学
9702_s23_41,3(c)(ii),4,T05,,194,111,,未学
9702_s23_41,3(d),2,T05,,194,111,,未学
9702_s23_41,4(a),2,K03,,196,112,,未学
9702_s23_41,4(b)(i),2,K01,,196,112,,未学
9702_s23_41,4(b)(ii),3,H03,,196,112,,未学
9702_s23_41,4(b)(iii),5,H03,,196,112,,未学
9702_s23_41,5(a)(i),1,A03,,198,113,,未学
9702_s23_41,5(a)(ii),1,A04,,198,113,,未学
9702_s23_41,5(b)(i),1,A01,,198,113,,未学
9702_s23_41,5(b)(ii),2,D06,A04,198,113,,未学
9702_s23_41,5(b)(iii),2,D06,,198,113,,未学
9702_s23_41,5(c),2,A03,,198,113,,未学
9702_s23_41,6(a),2,B01,,200,114,,未学
9702_s23_41,6(b),3,B01,,200,114,,未学
9702_s23_41,6(c)(i),2,B02,,200,114,,未学
9702_s23_41,6(c)(ii),1,B02,,200,114,,未学
9702_s23_41,6(c)(iii),2,B02,,200,114,,未学
9702_s23_41,7(a),1,Q04,,202,115,,未学
9702_s23_41,7(b)(i),1,Q03,,202,115,,未学
9702_s23_41,7(b)(ii),2,Q03,,202,115,,未学
9702_s23_41,7(c)(i),2,Q04,,202,115,,未学
9702_s23_41,7(c)(ii),3,Q04,,202,115,,未学
9702_s23_41,8(a)(i),1,M05,,204,116,,未学
9702_s23_41,8(a)(ii),2,M05,,204,116,,未学
9702_s23_41,8(b)(i),2,M05,,204,116,,未学
9702_s23_41,8(b)(ii),1,M05,,204,116,,未学
9702_s23_41,8(c),2,M05,,204,116,,未学
9702_s23_41,9(a),1,N04,,206,117,,未学
9702_s23_41,9(b),3,N04,,206,117,,未学
9702_s23_41,9(c)(i),2,N04,,206,117,,未学
9702_s23_41,9(c)(ii),3,N03,,206,117,,未学
9702_s23_41,10(a),2,Z05,,207,118,,未学
9702_s23_41,10(b),2,Z01,,207,118,,未学
9702_s23_41,10(c)(i),2,Z04,,207,118,,未学
9702_s23_41,10(c)(ii),3,Z05,Z01,207,118,,未学
9702_s23_42,1(a),2,G01,,212,124,,未学
9702_s23_42,1(b),2,G05,,212,124,,未学
9702_s23_42,1(c),3,G05,,212,124,,未学
9702_s23_42,1(d)(i),2,C02,G06,212,124,,未学
9702_s23_42,1(d)(ii),2,G06,,212,124,,未学
9702_s23_42,2(a)(i),2,K01,,214,125,,未学
9702_s23_42,2(a)(ii),1,T01,,214,125,,未学
9702_s23_42,2(b)(i),3,K02,,214,125,,未学
9702_s23_42,2(b)(ii),1,K02,,214,125,,未学
9702_s23_42,2(b)(iii),3,K04,,214,125,,未学
9702_s23_42,2(c),2,K04,,214,125,,未学
9702_s23_42,3(a),2,H02,,216,126,,未学
9702_s23_42,3(b)(i),4,H03,,216,126,,未学
9702_s23_42,3(b)(ii),3,H03,,216,126,,未学
9702_s23_42,4(a)(i),2,S02,,218,127,,未学
9702_s23_42,4(a)(ii),1,S02,,218,127,,未学
9702_s23_42,4(a)(iii),2,S01,,218,127,,未学
9702_s23_42,4(b),3,S01,,218,127,,未学
9702_s23_42,4(c),3,S03,,218,127,,未学
9702_s23_42,5(a)(i),1,D01,,220,128,,未学
9702_s23_42,5(a)(ii),1,D03,,220,128,,未学
9702_s23_42,5(b)(i),2,D04,,220,128,,未学
9702_s23_42,5(b)(ii),3,D04,,220,128,,未学
9702_s23_42,5(b)(iii),2,D04,,220,128,,未学
9702_s23_42,6(a)(i),2,I01,,222,129,,未学
9702_s23_42,6(a)(ii),2,I01,,222,129,,未学
9702_s23_42,6(b),3,I02,C02,222,129,,未学
9702_s23_42,6(c),3,I03,,222,129,,未学
9702_s23_42,7(a)(i),1,A03,,224,130,,未学
9702_s23_42,7(a)(ii),2,A03,,224,130,,未学
9702_s23_42,7(a)(iii),1,A03,,224,130,,未学
9702_s23_42,7(b)(i),3,A03,,224,130,,未学
9702_s23_42,7(b)(ii),2,A02,,224,130,,未学
9702_s23_42,7(b)(iii),1,A02,,224,130,,未学
9702_s23_42,8(a),2,Q05,,226,131,,未学
9702_s23_42,8(b)(i),2,Q05,,226,131,,未学
9702_s23_42,8(b)(ii),2,Q05,,226,131,,未学
9702_s23_42,8(c),2,Q05,,226,131,,未学
9702_s23_42,9(a),2,N01,,228,132,,未学
9702_s23_42,9(b)(i),1,N05,,228,132,,未学
9702_s23_42,9(b)(ii),3,N06,,228,132,,未学
9702_s23_42,9(c)(i),3,N06,,228,132,,未学
9702_s23_42,9(c)(ii),2,Z02,,228,132,,未学
9702_s23_42,10(a)(i),1,M01,,230,133,,未学
9702_s23_42,10(a)(ii),2,M01,,230,133,,未学
9702_s23_42,10(a)(iii),3,M01,,230,133,,未学
9702_s23_42,10(b),3,M02,,230,133,,未学
9702_s23_43,1(a)(i),1,G01,,235,139,9702_s23_41:1(a)(i),未学
9702_s23_43,1(a)(ii),1,E01,,235,139,9702_s23_41:1(a)(ii),未学
9702_s23_43,1(a)(iii),2,G03,E04,235,139,9702_s23_41:1(a)(iii),未学
9702_s23_43,1(b)(i),3,E03,G01,235,139,9702_s23_41:1(b)(i),未学
9702_s23_43,1(b)(ii),1,E03,,235,139,9702_s23_41:1(b)(ii),未学
9702_s23_43,1(c)(i),2,E03,,235,139,9702_s23_41:1(c)(i),未学
9702_s23_43,1(c)(ii),1,E03,,235,139,9702_s23_41:1(c)(ii),未学
9702_s23_43,2(a),3,C08,,237,140,9702_s23_41:2(a),未学
9702_s23_43,2(b)(i),1,C03,,237,140,9702_s23_41:2(b)(i),未学
9702_s23_43,2(b)(ii),2,C08,,237,140,9702_s23_41:2(b)(ii),未学
9702_s23_43,2(b)(iii),2,C08,X01,237,140,9702_s23_41:2(b)(iii),未学
