考法编号,考法名称,当前状态,关联记录数,首次学习日期,典型题独立作答证据,变式与解释证据,错误类别,下一步补救,延迟复测日期,延迟混合测试结果
C01,弧度与弧长,未学,6,,,,,,,
C02,角速度 周期与转角,未学,11,,,,,,,
C03,线速度与实际半径,未学,9,,,,,,,
C04,向心加速度计算,未学,6,,,,,,,
C05,速度 加速度与合力方向,未学,18,,,,,,,
C06,同一刚体不同半径比较,未学,1,,,,,,,
C07,链轮传动与约束改变,未学,1,,,,,,,
C08,分解真实作用力,未学,11,,,,,,,
C09,近似与数量级判断,未学,1,,,,,,,
C10,卫星周期 轨道半径与图像,未学,10,,,,,,,
C11,同步轨道与地面自转,未学,7,,,,,,,
C12,库仑力提供向心力,未学,14,,,,,,,
C13,磁力提供向心力,未学,8,,,,,,,
C14,磁场中的周期与半径变化,未学,3,,,,,,,
C15,圆周运动投影与简谐运动,未学,12,,,,,,,
C16,转动与电磁感应综合,未学,4,,,,,,,
P01,变量与控制,未学,3,,,,,,,
P02,可执行装置与测量,未学,3,,,,,,,
P03,直线化与参数提取,未学,6,,,,,,,
P04,实验细节与情境安全,未学,3,,,,,,,
P05,数据变换与不确定度,未学,3,,,,,,,
P06,描点与误差棒,未学,3,,,,,,,
P07,最佳线与最差可接受线,未学,3,,,,,,,
P08,斜率与不确定度,未学,3,,,,,,,
P09,截距与不确定度,未学,3,,,,,,,
P10,常量还原与单位缩放,未学,3,,,,,,,
P11,参数不确定度,未学,1,,,,,,,
P12,预测与反解,未学,3,,,,,,,
