id,kind,year,season,component,start,end,file
9702_s22_qp_41,qp,2022,s,41,1,24,（已压缩）9702_ALL_QuestionPapers_merged.pdf
9702_s22_qp_42,qp,2022,s,42,25,46,（已压缩）9702_ALL_QuestionPapers_merged.pdf
9702_s22_qp_43,qp,2022,s,43,47,70,（已压缩）9702_ALL_QuestionPapers_merged.pdf
9702_s22_qp_51,qp,2022,s,51,71,78,（已压缩）9702_ALL_QuestionPapers_merged.pdf
9702_s22_qp_52,qp,2022,s,52,79,86,（已压缩）9702_ALL_QuestionPapers_merged.pdf
9702_s22_qp_53,qp,2022,s,53,87,94,（已压缩）9702_ALL_QuestionPapers_merged.pdf
9702_w22_qp_41,qp,2022,w,41,95,117,（已压缩）9702_ALL_QuestionPapers_merged.pdf
9702_w22_qp_42,qp,2022,w,42,118,139,（已压缩）9702_ALL_QuestionPapers_merged.pdf
9702_w22_qp_43,qp,2022,w,43,140,162,（已压缩）9702_ALL_QuestionPapers_merged.pdf
9702_w22_qp_51,qp,2022,w,51,163,170,（已压缩）9702_ALL_QuestionPapers_merged.pdf
9702_w22_qp_52,qp,2022,w,52,171,178,（已压缩）9702_ALL_QuestionPapers_merged.pdf
9702_w22_qp_53,qp,2022,w,53,179,186,（已压缩）9702_ALL_QuestionPapers_merged.pdf
9702_s23_qp_41,qp,2023,s,41,187,208,（已压缩）9702_ALL_QuestionPapers_merged.pdf
9702_s23_qp_42,qp,2023,s,42,209,231,（已压缩）9702_ALL_QuestionPapers_merged.pdf
9702_s23_qp_43,qp,2023,s,43,232,253,（已压缩）9702_ALL_QuestionPapers_merged.pdf
9702_s23_qp_51,qp,2023,s,51,254,261,（已压缩）9702_ALL_QuestionPapers_merged.pdf
9702_s23_qp_52,qp,2023,s,52,262,269,（已压缩）9702_ALL_QuestionPapers_merged.pdf
9702_s23_qp_53,qp,2023,s,53,270,277,（已压缩）9702_ALL_QuestionPapers_merged.pdf
9702_w23_qp_41,qp,2023,w,41,278,300,（已压缩）9702_ALL_QuestionPapers_merged.pdf
9702_w23_qp_42,qp,2023,w,42,301,322,（已压缩）9702_ALL_QuestionPapers_merged.pdf
9702_w23_qp_43,qp,2023,w,43,323,345,（已压缩）9702_ALL_QuestionPapers_merged.pdf
9702_w23_qp_51,qp,2023,w,51,346,353,（已压缩）9702_ALL_QuestionPapers_merged.pdf
9702_w23_qp_52,qp,2023,w,52,354,361,（已压缩）9702_ALL_QuestionPapers_merged.pdf
9702_w23_qp_53,qp,2023,w,53,362,369,（已压缩）9702_ALL_QuestionPapers_merged.pdf
9702_m24_qp_42,qp,2024,m,42,370,395,（已压缩）9702_ALL_QuestionPapers_merged.pdf
9702_m24_qp_52,qp,2024,m,52,396,403,（已压缩）9702_ALL_QuestionPapers_merged.pdf
9702_s24_qp_41,qp,2024,s,41,404,426,（已压缩）9702_ALL_QuestionPapers_merged.pdf
