paper,question,type,name,marks,qp_start,qp_end,ms_page,status,duplicate_group,mastery
9702_s22_41,2(a)(i),C05,速度 加速度与合力方向,1,1,24,31,原题与评分依据已核对,,未学
9702_s22_41,2(a)(ii),C05,速度 加速度与合力方向,2,1,24,31,原题与评分依据已核对,,未学
9702_s22_41,2(c),C13,磁力提供向心力,3,1,24,31,原题与评分依据已核对,,未学
9702_s22_42,2(b)(i),C05,速度 加速度与合力方向,2,25,46,47,原题与评分依据已核对,,未学
9702_s22_42,2(b)(ii),C12,库仑力提供向心力,2,25,46,47,原题与评分依据已核对,,未学
9702_s22_42,2(b)(iii),C12,库仑力提供向心力,3,25,46,47,原题与评分依据已核对,,未学
9702_w22_41,1(b),C10,卫星周期 轨道半径与图像,3,95,117,357,原题与评分依据已核对,,未学
9702_w22_41,1(c)(i),C10,卫星周期 轨道半径与图像,2,95,117,357,原题与评分依据已核对,,未学
9702_w22_41,1(c)(ii),C11,同步轨道与地面自转,2,95,117,357,原题与评分依据已核对,,未学
9702_w22_42,1(b)(ii),C05,速度 加速度与合力方向,2,118,139,372,原题与评分依据已核对,,未学
9702_w22_42,1(c)(i),C04,向心加速度计算,3,118,139,372,原题与评分依据已核对,,未学
9702_w22_42,1(c)(ii),C08,分解真实作用力,2,118,139,372,原题与评分依据已核对,,未学
9702_s23_41,2(a),C08,分解真实作用力,3,187,208,109,原题与评分依据已核对,,未学
9702_s23_41,2(b)(i),C03,线速度与实际半径,1,187,208,109,原题与评分依据已核对,,未学
9702_s23_41,2(b)(ii),C08,分解真实作用力,2,187,208,109,原题与评分依据已核对,,未学
9702_s23_41,2(b)(iii),C08,分解真实作用力,2,187,208,109,原题与评分依据已核对,,未学
9702_s23_41,2(c)(i),C08,分解真实作用力,2,187,208,109,原题与评分依据已核对,,未学
9702_s23_41,2(c)(ii),C02,角速度 周期与转角,2,187,208,110,原题与评分依据已核对,,未学
9702_s23_42,1(b),C10,卫星周期 轨道半径与图像,2,209,231,124,原题与评分依据已核对,,未学
9702_s23_42,1(c),C10,卫星周期 轨道半径与图像,3,209,231,124,原题与评分依据已核对,,未学
9702_s23_42,1(d)(i),C02,角速度 周期与转角,2,209,231,124,原题与评分依据已核对,,未学
9702_s23_42,1(d)(ii),C11,同步轨道与地面自转,2,209,231,124,原题与评分依据已核对,,未学
9702_s23_42,6(b),C16,转动与电磁感应综合,3,209,231,129,原题与评分依据已核对,,未学
9702_w23_41,6(b)(i),C05,速度 加速度与合力方向,1,278,300,436,原题与评分依据已核对,,未学
9702_w23_41,6(b)(ii),C13,磁力提供向心力,2,278,300,436,原题与评分依据已核对,,未学
9702_w23_41,6(b)(iii),C05,速度 加速度与合力方向,1,278,300,436,原题与评分依据已核对,,未学
9702_w23_41,6(b)(iv),C13,磁力提供向心力,3,278,300,436,原题与评分依据已核对,,未学
9702_w23_41,6(c),C13,磁力提供向心力,3,278,300,436,原题与评分依据已核对,,未学
9702_w23_42,1(a),C01,弧度与弧长,1,301,322,446,原题与评分依据已核对,,未学
9702_w23_42,1(b),C02,角速度 周期与转角,2,301,322,446,原题与评分依据已核对,,未学
9702_w23_42,1(c)(i),C02,角速度 周期与转角,1,301,322,446,原题与评分依据已核对,,未学
9702_w23_42,1(c)(ii),C01,弧度与弧长,2,301,322,446,原题与评分依据已核对,,未学
9702_w23_42,1(c)(iii),C04,向心加速度计算,2,301,322,446,原题与评分依据已核对,,未学
9702_w23_42,1(d),C09,近似与数量级判断,2,301,322,446,原题与评分依据已核对,,未学
9702_m24_42,5(a),C05,速度 加速度与合力方向,2,370,395,9,原题与评分依据已核对,,未学
9702_m24_42,5(b)(i),C14,磁场中的周期与半径变化,3,370,395,9,原题与评分依据已核对,,未学
9702_m24_42,5(b)(ii),C14,磁场中的周期与半径变化,2,370,395,9,原题与评分依据已核对,,未学
9702_m24_42,5(b)(iii),C14,磁场中的周期与半径变化,1,370,395,9,原题与评分依据已核对,,未学
9702_s24_42,1(a),C01,弧度与弧长,1,427,450,206,原题与评分依据已核对,,未学
9702_s24_42,1(b)(i),C05,速度 加速度与合力方向,1,427,450,206,原题与评分依据已核对,,未学
9702_s24_42,1(b)(ii),C05,速度 加速度与合力方向,1,427,450,206,原题与评分依据已核对,,未学
9702_s24_42,1(c)(i),C03,线速度与实际半径,2,427,450,206,原题与评分依据已核对,,未学
9702_s24_42,1(c)(ii),C04,向心加速度计算,2,427,450,206,原题与评分依据已核对,,未学
9702_s24_42,1(d),C06,同一刚体不同半径比较,3,427,450,206,原题与评分依据已核对,,未学
9702_w24_41,1(b)(i),C05,速度 加速度与合力方向,2,498,521,508,原题与评分依据已核对,,未学
9702_w24_41,1(b)(ii),C10,卫星周期 轨道半径与图像,3,498,521,508,原题与评分依据已核对,,未学
9702_w24_41,1(b)(iii),C10,卫星周期 轨道半径与图像,5,498,521,508,原题与评分依据已核对,,未学
9702_w24_42,1(a)(i),C03,线速度与实际半径,2,522,545,522,原题与评分依据已核对,,未学
9702_w24_42,1(a)(ii),C04,向心加速度计算,2,522,545,522,原题与评分依据已核对,,未学
9702_w24_42,1(b)(ii),C02,角速度 周期与转角,1,522,545,522,原题与评分依据已核对,,未学
9702_w24_42,1(b)(iii),C16,转动与电磁感应综合,3,522,545,522,原题与评分依据已核对,,未学
9702_w24_42,1(b)(iv),C16,转动与电磁感应综合,2,522,545,522,原题与评分依据已核对,,未学
9702_w24_42,1(b)(v),C16,转动与电磁感应综合,1,522,545,522,原题与评分依据已核对,,未学
9702_s25_41,1(c)(i),C11,同步轨道与地面自转,1,594,617,267,原题与评分依据已核对,,未学
9702_s25_41,1(c)(ii),C11,同步轨道与地面自转,1,594,617,267,原题与评分依据已核对,,未学
9702_s25_41,2(b)(i),C12,库仑力提供向心力,1,594,617,268,原题与评分依据已核对,,未学
9702_s25_41,2(b)(ii),C12,库仑力提供向心力,1,594,617,268,原题与评分依据已核对,,未学
9702_s25_41,2(c)(i),C12,库仑力提供向心力,2,594,617,268,原题与评分依据已核对,,未学
9702_s25_41,2(c)(ii),C12,库仑力提供向心力,2,594,617,268,原题与评分依据已核对,,未学
9702_s25_41,2(d)(i),C12,库仑力提供向心力,2,594,617,269,原题与评分依据已核对,,未学
9702_s25_41,2(d)(ii),C12,库仑力提供向心力,1,594,617,269,原题与评分依据已核对,,未学
9702_s25_42,1(a),C01,弧度与弧长,1,618,641,286,原题与评分依据已核对,,未学
9702_s25_42,1(b)(i),C03,线速度与实际半径,2,618,641,286,原题与评分依据已核对,,未学
9702_s25_42,1(b)(ii),C02,角速度 周期与转角,2,618,641,286,原题与评分依据已核对,,未学
9702_s25_42,1(b)(iii),C01,弧度与弧长,1,618,641,286,原题与评分依据已核对,,未学
9702_s25_42,1(b)(iv),C01,弧度与弧长,2,618,641,286,原题与评分依据已核对,,未学
9702_s25_42,1(c),C07,链轮传动与约束改变,2,618,641,286,原题与评分依据已核对,,未学
9702_w25_41,1(a),C05,速度 加速度与合力方向,2,690,713,586,原题与评分依据已核对,,未学
9702_w25_41,1(b)(i),C03,线速度与实际半径,1,690,713,586,原题与评分依据已核对,,未学
9702_w25_41,1(b)(ii),C04,向心加速度计算,2,690,713,586,原题与评分依据已核对,,未学
9702_w25_41,1(c)(i),C15,圆周运动投影与简谐运动,1,690,713,586,原题与评分依据已核对,,未学
9702_w25_41,1(c)(ii),C02,角速度 周期与转角,1,690,713,586,原题与评分依据已核对,,未学
9702_w25_41,1(c)(iii),C15,圆周运动投影与简谐运动,1,690,713,586,原题与评分依据已核对,,未学
9702_w25_41,1(c)(iv),C15,圆周运动投影与简谐运动,1,690,713,586,原题与评分依据已核对,,未学
9702_w25_41,1(d)(i),C15,圆周运动投影与简谐运动,1,690,713,586,原题与评分依据已核对,,未学
9702_w25_41,1(d)(ii),C02,角速度 周期与转角,2,690,713,586,原题与评分依据已核对,,未学
9702_w25_41,1(d)(iii),C15,圆周运动投影与简谐运动,2,690,713,587,原题与评分依据已核对,,未学
9702_w25_41,1(e),C15,圆周运动投影与简谐运动,1,690,713,587,原题与评分依据已核对,,未学
9702_w25_42,1(a)(i),C03,线速度与实际半径,1,714,737,603,原题与评分依据已核对,,未学
9702_w25_42,1(a)(ii),C03,线速度与实际半径,3,714,737,603,原题与评分依据已核对,,未学
9702_w25_42,1(b)(i),C08,分解真实作用力,2,714,737,603,原题与评分依据已核对,,未学
9702_w25_42,1(b)(ii),C05,速度 加速度与合力方向,1,714,737,603,原题与评分依据已核对,,未学
9702_w25_42,1(b)(iii),C08,分解真实作用力,2,714,737,603,原题与评分依据已核对,,未学
9702_s22_43,2(a)(i),C05,速度 加速度与合力方向,1,47,70,63,评分依据已定位；跨版本重复待视觉复核,9702_s22_41:2(a)(i),未学
9702_s22_43,2(a)(ii),C05,速度 加速度与合力方向,2,47,70,63,评分依据已定位；跨版本重复待视觉复核,9702_s22_41:2(a)(ii),未学
9702_s22_43,2(c),C13,磁力提供向心力,3,47,70,63,评分依据已定位；跨版本重复待视觉复核,9702_s22_41:2(c),未学
9702_w22_43,1(b),C10,卫星周期 轨道半径与图像,3,140,162,388,评分依据已定位；跨版本重复待视觉复核,9702_w22_41:1(b),未学
