C01 s25_42:1(b)(iv)
C02 w23_42:1(c)(i)
C03 w25_42:1(a)(i)
C04 w24_42:1(a)(ii)
C05 s24_42:1(b)(i)
C06 自编变式：同一转盘上A到轴的距离是B的三倍。分别比较ω、v、a，并解释为什么不能直接说A的所有物理量都是三倍。
C07 自编变式：保持自行车速度和后轮半径不变，将后轮上的链轮半径增大20%，前链轮不变。求踏频比并说明哪两个部件共角速度、哪两个轮缘共线速度。
C08 s23_41:2(a)
C09 自编变式：某旋转装置上小物体所需向心加速度为0.050 m s⁻²。有人说支撑力可始终近似等于重力。用数量级评估，并指出方向变化仍会造成什么影响。
C10 自编变式：半径0.20 m的质点以3.0 rad s⁻¹匀速转动，t=0时投影在正最大位移处。写投影x(t)、振幅和周期，并比较它与本条sin形式的初相位。
C11 s25_41:2(c)(ii)
G01 w23_41:1(b)(iii)
G02 w25_41:3(c)
G03 s24_41:1(b)(ii)
G04 w23_42:2(b)(ii)
G05 w24_41:1(b)(iii)
G06 s23_42:1(d)(ii)
T01 s24_42:2(b)(ii)
T02 w25_42:3(b)(iv)
T03 w24_41:2(b)(ii)
T04 w24_42:3(b)(iii)
T05 s23_41:3(d)
K01 s24_42:2(b)(i)
K02 w25_42:2(c)(ii)
K03 w23_41:3(d)
K04 s24_42:2(b)(iii)
H01 s24_42:3(b)(ii)
H02 w25_41:2(b)(i)
H03 s25_41:4(b)
S01 w25_42:5(a)(ii)
S02 w24_41:4(b)(iv)
S03 w24_42:5(c)
S04 w25_42:5(b)(ii)
S05 s24_41:4(c)
E01 w24_42:6(c)(iii)
E02 w23_42:5(b)
E03 w24_41:5(b)
E04 w25_41:5(b)(iv)
E05 w22_42:5(c)(ii)
E06 s24_41:5(b)(iii)
D01 w25_42:6(b)(ii)
D02 s24_42:6(a)
D03 s24_42:6(b)(iii)
D04 w25_41:6(b)(iii)
D05 s25_42:7(c)
D06 w23_42:6(b)(ii)
B01 s25_42:2(c)(ii)
B02 w24_41:7(c)(iv)
B03 w23_41:6(b)(i)
B04 w23_41:6(c)
B05 s25_41:7(c)(i)
B06 w22_41:6(b)(ii)
I01 w24_42:1(b)(iii)
I02 s24_42:7(b)(ii)
I03 w25_41:7(b)(iv)
I04 w23_42:7(b)(ii)
A01 w24_42:8(b)(ii)
A02 s25_42:8(b)(iv)
A03 s25_41:6(b)(iii)
A04 s22_41:5(c)(ii)
Q01 w23_41:8(b)(i)
Q02 s25_42:9(b)(ii)
Q03 w24_42:9(a)
Q04 w24_42:9(b)
Q05 w25_42:8(b)(iii)
Q06 w22_42:10(b)
Q07 w23_41:8(c)
N01 s24_42:9(b)(iii)
N02 s22_41:8(b)(ii)
N03 s25_42:10(c)
N04 s25_42:10(b)(ii)
N05 m24_42:8(b)(iii)
N06 w25_42:9(b)
M01 s23_42:10(a)(iii)
M02 w25_42:10(b)(ii)
M03 自编变式：某同学说CT只需从一个方向对同一薄层连续照射很多次，就能得到完整三维结构。指出缺少的两种空间信息，并写出正确扫描顺序。
M04 w25_41:10(b)
M05 m24_42:9(c)(iii)
M06 w24_41:9(b)(ii)
Z01 w24_41:10(b)(i)
Z02 w25_42:9(c)(ii)
Z03 w23_42:10(b)(iii)
Z04 s24_42:8(a)(ii)
Z05 s24_42:8(c)
X01 w23_42:4(b)(i)
